participant id,gender,age,min age,max age
805,MF,35.5,36.0,35.0
806,F,35.5,34.0,37.0
807,F,38.0,36.0,40.0
808,M,35.0,33.0,37.0
809,M,38.0,36.0,40.0
810,F,45.0,43.0,47.0
811,M,35.5,41.0,30.0
812,M,48.0,46.0,50.0
813,M,40.0,38.0,42.0
814,M,31.0,29.0,33.0
815,M,44.0,43.0,45.0
816,M,43.0,41.0,45.0
817,M,21.5,21.0,22.0
818,M,29.0,28.0,30.0
819,M,53.0,51.0,55.0
820,M,41.0,41.0,41.0
821,F,42.5,43.0,42.0
822,M,49.0,48.0,50.0
823,M,56.0,54.0,58.0
824,M,63.0,61.0,65.0
825,M,35.5,34.0,37.0
826,M,33.0,31.0,35.0
827,M,53.0,51.0,55.0
828,M,45.0,43.0,47.0
829,F,38.0,36.0,40.0
830,M,43.0,41.0,45.0
831,F,22.0,19.0,25.0
832,F,39.0,39.0,39.0
833,M,28.0,26.0,30.0
834,M,59.0,58.0,60.0
835,F,45.0,43.0,47.0
836,M,28.0,26.0,30.0
837,M,33.0,31.0,35.0
838,M,28.0,26.0,30.0
839,F,28.0,26.0,30.0
840,M,25.0,23.0,27.0
841,M,49.5,51.0,48.0
842,M,33.0,31.0,35.0
843,M,43.0,41.0,45.0
844,M,26.5,26.0,27.0
845,M,33.0,31.0,35.0
846,M,66.5,66.0,67.0
847,M,58.0,56.0,60.0
848,M,55.0,53.0,57.0
849,M,28.0,26.0,30.0
850,M,40.0,38.0,42.0
851,F,48.0,46.0,50.0
852,M,54.0,53.0,55.0
853,M,22.0,19.0,25.0
854,M,35.5,34.0,37.0
855,M,30.0,28.0,32.0
856,M,33.0,31.0,35.0
857,M,39.5,39.0,40.0
858,M,43.0,43.0,43.0
859,M,58.0,56.0,60.0
860,M,22.0,19.0,25.0
861,M,65.5,64.0,67.0
862,M,33.5,32.0,35.0
863,M,50.0,48.0,52.0
864,M,59.5,58.0,61.0
865,M,32.5,36.0,29.0
866,M,22.0,19.0,25.0
867,M,40.0,38.0,42.0
868,M,48.0,46.0,50.0
869,M,22.0,19.0,25.0
870,M,26.5,32.0,21.0
871,F,28.0,26.0,30.0
